 Area 7.Cogeneration Plant.GEN7003 Cogeneration Plant No 3 Co-Gen.Variables.HMI Indication - Actual Power  Raw Historic			
Time/Date	Value		
01/01/2020 21:02:48	1018.09		
01/01/2020 21:03:16	1014.00		
01/01/2020 21:03:18	1008.06		
01/01/2020 21:05:00	1015.86		
01/01/2020 21:05:02	1019.94		
01/01/2020 21:05:12	1014.00		
01/01/2020 21:05:14	1009.91		
01/01/2020 21:11:36	1014.00		
01/01/2020 21:11:38	1019.20		
01/01/2020 21:11:48	1013.63		
01/01/2020 21:11:50	1009.17		
01/01/2020 21:12:40	1014.74		
01/01/2020 21:12:42	1018.09		
01/01/2020 21:12:52	1013.63		
01/01/2020 21:12:54	1006.94		
01/01/2020 21:15:20	1014.00		
01/01/2020 21:15:22	1015.49		
01/01/2020 21:15:46	1008.43		
01/01/2020 21:15:48	1007.31		
01/01/2020 21:16:26	1013.63		
01/01/2020 21:16:28	1019.57		
01/01/2020 21:16:42	1012.89		
01/01/2020 21:16:44	1008.80		
01/01/2020 21:18:38	1014.00		
01/01/2020 21:18:40	1019.20		
01/01/2020 21:18:50	1014.00		
01/01/2020 21:18:52	1010.29		
01/01/2020 21:27:06	1014.37		
01/01/2020 21:27:08	1019.94		
01/01/2020 21:27:18	1012.89		
01/01/2020 21:27:20	1009.17		
01/01/2020 21:33:58	1012.14		
01/01/2020 21:34:00	1018.09		
01/01/2020 21:34:22	1010.66		
01/01/2020 21:34:24	1007.31		
01/01/2020 21:35:14	1014.00		
01/01/2020 21:35:16	1015.86		
01/01/2020 21:35:22	1008.80		
01/01/2020 21:35:24	1007.31		
01/01/2020 21:44:32	1014.00		
01/01/2020 21:44:34	1016.23		
01/01/2020 21:44:42	1012.14		
01/01/2020 21:44:44	1007.31		
01/01/2020 21:52:22	1012.89		
01/01/2020 21:52:24	1015.86		
01/01/2020 21:52:56	1008.06		
01/01/2020 21:52:58	1007.31		
01/01/2020 21:53:36	1014.00		
01/01/2020 21:53:38	1016.60		
01/01/2020 21:54:28	1011.77		
01/01/2020 21:54:30	1007.31		
01/01/2020 21:56:38	1014.37		
01/01/2020 21:56:40	1015.49		
01/01/2020 21:57:40	1009.91		
01/01/2020 21:57:42	1007.31		
01/01/2020 21:59:34	1014.00		
01/01/2020 21:59:36	1018.09		
01/01/2020 22:00:10	1011.03		
01/01/2020 22:00:12	1008.80		
01/01/2020 22:02:00	1014.00		
01/01/2020 22:02:02	1017.71		
01/01/2020 22:02:44	1012.14		
01/01/2020 22:02:46	1008.80		
01/01/2020 22:09:00	1013.63		
01/01/2020 22:09:02	1019.20		
01/01/2020 22:09:10	1012.89		
01/01/2020 22:09:12	1008.43		
01/01/2020 22:09:58	1013.63		
01/01/2020 22:10:00	1016.60		
01/01/2020 22:10:24	1014.00		
01/01/2020 22:10:26	1008.43		
01/01/2020 22:14:26	1015.49		
01/01/2020 22:14:28	1019.57		
01/01/2020 22:14:44	1014.00		
01/01/2020 22:14:46	1009.91		
01/01/2020 22:17:16	1014.00		
01/01/2020 22:17:18	1019.57		
01/01/2020 22:17:38	1012.51		
